Ti,Result
10,33.6517
20,36.9383
30,36.4196
40,41.6975
50,36.72
60,33.488
70,35.768
80,44.5685
90,39.7107
100,37.6392
110,34.6876
120,33.4897
130,38.8718
140,38.4454
150,41.1392
160,38.015
170,33.7822
180,40.867
190,38.4542
200,37.6675
210,37.6888
220,39.7631
230,39.9469
240,39.4816
250,36.1029
260,34.9098
270,33.7953
280,34.6754
290,35.5383
300,42.0336
310,32.1456
320,37.1428
330,40.7792
340,36.7847
350,38.1792
360,33.6829
370,37.8947
380,33.9407
390,40.4136
400,34.9246
410,37.3193
420,34.9384
430,33.5044
440,39.0955
450,41.2353
460,36.2562
470,34.7985
480,36.541
490,37.3152
500,35.7742
510,41.0431
520,39.6748
530,38.7866
540,35.9352
550,39.9605
560,37.7835
570,40.2657
580,30.808
590,36.0107
600,39.1321
610,44.0097
620,38.6836
630,34.8469
640,31.6141
650,41.0614
660,36.3727
670,36.7226
680,33.9299
690,38.743
700,34.6844
710,34.5895
720,34.2425
730,32.3518
740,38.7433
750,36.4514
760,37.7349
770,37.5196
780,39.3748
790,36.9375
800,36.4576
810,34.6609
820,38.66
830,41.2177
840,34.7314
850,36.6619
860,35.0531
870,34.3338
880,37.0007
890,38.2748
900,32.7418
910,36.5109
920,40.7343
930,43.2941
940,34.8894
950,33.0265
960,38.0307
970,39.0455
980,35.3399
990,35.1547
1000,40.0323
1010,37.2664
1020,40.0938
1030,34.6935
1040,34.6478
1050,37.0481
1060,35.3551
1070,34.0092
1080,39.1093
1090,35.7792
1100,36.2874
1110,39.2525
1120,38.8824
1130,35.3446
1140,34.8229
1150,32.3269
1160,29.5258
1170,36.0622
1180,37.1043
1190,40.6993
1200,36.6961
1210,43.8191
1220,44.1507
1230,38.5775
1240,42.6539
1250,42.5363
1260,33.4611
1270,37.5473
1280,34.001
1290,33.1927
1300,39.7935
1310,38.7551
1320,38.9934
1330,38.0089
1340,36.6644
1350,42.5663
1360,33.9856
1370,35.5321
1380,34.4078
1390,36.0486
1400,41.7687
1410,33.2374
1420,37.0006
1430,41.1152
1440,35.2403
1450,36.5739
1460,33.4335
1470,41.0718
1480,37.3573
1490,37.4084
1500,40.0732
1510,33.9384
1520,38.1666
1530,38.1214
1540,37.3634
1550,38.5151
1560,40.8694
1570,45.5811
1580,33.7656
1590,32.2189
1600,37.9383
1610,36.4524
1620,37.8006
1630,39.1565
1640,36.0426
1650,33.084
1660,33.6255
1670,34.7557
1680,35.6143
1690,39.5334
1700,37.5794
1710,35.6832
1720,41.4371
1730,41.0088
1740,37.105
1750,37.9337
1760,36.7975
1770,34.4671
1780,33.8333
1790,36.9767
1800,35.195
1810,37.2368
1820,33.9408
1830,34.5776
1840,37.348
1850,39.8355
1860,30.1674
1870,36.6767
1880,40.9492
1890,35.3531
1900,38.6115
1910,34.1175
1920,32.826
1930,34.9548
1940,44.7057
1950,32.5918
1960,34.698
1970,36.3974
1980,33.5452
1990,34.5088
2000,31.5515
2010,33.1345
2020,35.2965
2030,37.446
2040,40.3368
2050,37.7082
2060,41.1785
2070,32.9959
2080,39.0665
2090,37.1259
2100,32.7927
2110,39.5158
2120,38.7101
2130,39.1655
2140,39.2306
2150,40.3091
2160,33.7631
2170,35.8182
2180,41.4006
2190,44.0021
2200,38.0323
2210,35.7591
2220,36.481
2230,32.7073
2240,36.7735
2250,37.2569
2260,32.9248
2270,37.4014
2280,36.3039
2290,34.886
2300,38.1463
2310,41.9369
2320,40.0669
2330,37.9683
2340,30.3974
2350,38.4973
2360,36.5132
2370,37.0548
2380,34.5037
2390,37.2974
2400,36.5819
2410,41.3537
2420,39.6156
2430,39.5995
2440,38.8608
2450,39.0362
2460,38.3706
2470,35.9799
2480,33.8396
2490,38.4965
2500,37.047
2510,36.6355
2520,37.1026
2530,38.8823
2540,33.9389
2550,37.4274
2560,36.6604
2570,35.4274
2580,39.7024
2590,36.405
2600,37.529
2610,32.242
2620,33.1734
2630,35.68
2640,31.92
2650,38.7609
2660,33.2787
2670,33.8836
2680,35.1684
2690,39.2206
2700,33.3889
2710,33.9525
2720,36.0924
2730,40.9663
2740,42.2563
2750,33.8105
2760,33.0413
2770,32.5403
2780,31.6751
2790,33.8062
2800,37.5051
2810,39.5146
2820,37.2376
2830,45.3746
2840,37.0851
2850,36.1519
2860,36.1663
2870,36.1294
2880,38.0204
2890,42.4046
2900,38.8557
2910,34.1117
2920,36.1542
2930,37.4973
2940,36.1491
2950,34.1632
2960,41.325
2970,35.2504
2980,36.2668
2990,38.1344
3000,32.0095
3010,35.2076
3020,35.077
3030,33.253
3040,36.9301
3050,35.9916
3060,38.0972
3070,34.5635
3080,38.3012
3090,37.0045
3100,38.4201
3110,34.1748
3120,37.7279
3130,36.9174
3140,37.4841
3150,38.7191
3160,40.7668
3170,36.9824
3180,35.7038
3190,40.9509
3200,37.1057
3210,37.6101
3220,37.4022
3230,33.7058
3240,39.7433
3250,34.3704
3260,39.9441
3270,37.0028
3280,35.9931
3290,35.8417
3300,36.0758
3310,34.829
3320,38.4062
3330,36.6447
3340,38.3023
3350,36.576
3360,33.9776
3370,39.3146
3380,40.6984
3390,43.176
3400,41.0314
3410,35.5694
3420,34.9373
3430,37.5994
3440,36.3744
3450,33.8325
3460,39.7144
3470,39.658
3480,40.3784
3490,37.216
3500,39.0576
3510,34.0121
3520,38.3909
3530,37.6432
3540,38.4968
3550,36.4567
3560,37.9771
3570,39.4527
3580,38.2794
3590,35.3718
3600,33.3989
3610,38.1123
3620,38.9338
3630,40.9629
3640,43.1084
3650,32.8695
3660,37.1989
3670,36.5903
3680,36.9987
3690,32.5761
3700,34.2544
3710,38.1817
3720,38.2414
3730,39.9374
3740,37.2713
3750,36.1687
3760,36.6481
3770,38.6931
3780,34.5219
3790,34.3077
3800,42.9498
3810,41.1347
3820,36.8235
3830,36.0919
3840,34.636
3850,31.7187
3860,36.8394
3870,39.7981
3880,36.7186
3890,32.7749
3900,37.7762
3910,37.4932
3920,34.936
3930,35.0448
3940,32.8519
3950,41.3882
3960,36.5265
3970,36.9211
3980,35.2268
3990,37.9465
4000,37.2756
4010,39.4419
4020,33.7288
4030,35.587
4040,36.821
4050,40.6386
4060,35.6625
4070,36.0026
4080,35.577
4090,39.7791
4100,35.7299
4110,34.8578
4120,36.2655
4130,33.8991
4140,35.9652
4150,39.9001
4160,38.8714
4170,38.7671
4180,41.477
4190,37.8789
4200,36.7021
4210,38.3776
4220,33.2097
4230,43.8711
4240,32.5803
4250,31.6471
4260,37.179
4270,32.8485
4280,40.1068
4290,34.9815
4300,39.2517
4310,36.7532
4320,39.6413
4330,32.3363
4340,38.7755
4350,40.4713
4360,41.2135
4370,39.5426
4380,34.3941
4390,35.639
4400,40.649
4410,40.2744
4420,39.3561
4430,36.1464
4440,35.7657
4450,34.4438
4460,37.5149
4470,36.6945
4480,37.9178
4490,38.8705
4500,38.0825
4510,35.4659
4520,35.8369
4530,38.9347
4540,31.8437
4550,35.1411
4560,38.34
4570,35.2136
4580,41.1644
4590,40.1015
4600,39.6669
4610,35.784
4620,38.2413
4630,36.6636
4640,38.0924
4650,31.3497
4660,33.8259
4670,34.821
4680,35.2812
4690,37.5493
4700,33.2702
4710,40.5066
4720,40.2272
4730,39.2171
4740,40.8875
4750,37.5979
4760,35.7994
4770,38.7545
4780,37.2068
4790,34.9333
4800,38.6896
4810,32.8645
4820,32.1523
4830,34.7778
4840,34.9849
4850,36.5898
4860,35.7983
4870,40.7685
4880,37.1333
4890,36.8998
4900,36.8894
4910,31.5375
4920,36.5269
4930,36.4538
4940,36.7274
4950,33.43
4960,39.3591
4970,39.1582
4980,35.628
4990,34.542
5000,34.2488
