R,Result
0.999,34.3129
R,Result
0.9991,37.3978
R,Result
0.9992,37.1331
R,Result
0.9993,38.277
R,Result
0.9994,37.2351
R,Result
0.9995,31.3518
R,Result
0.9996,39.7799
R,Result
0.9997,36.6467
R,Result
0.9998,32.6815
R,Result
0.9999,31.5938
R,Result
0.99991,39.9777
R,Result
0.99992,42.6919
R,Result
0.99993,35.3143
R,Result
0.99994,37.8207
R,Result
0.99995,38.1824
R,Result
0.99996,29.6294
R,Result
0.99997,37.2202
R,Result
0.99998,37.6483
R,Result
0.99999,42.4341
R,Result
0.999991,36.9599
R,Result
0.999992,37.4108
R,Result
0.999993,33.6855
R,Result
0.999994,40.7834
R,Result
0.999995,39.9738
R,Result
0.999996,36.6356
R,Result
0.999997,41.1715
R,Result
0.999998,35.1173
R,Result
0.999999,42.6897
